#Node	Received	Sent	PDR(%)
39	91	90	101.11
58	91	91	100.00
44	90	90	100.00
54	91	90	101.11
53	91	90	101.11
41	91	90	101.11
43	91	90	101.11
36	91	90	101.11
50	89	91	97.80
45	91	90	101.11
34	79	91	86.81
24	5	72	6.94
8	4	73	5.47
48	73	91	80.21
60	84	90	93.33
28	2	73	2.73
55	85	91	93.40
11	0	72	0.00
31	2	73	2.73
35	91	91	100.00
2	16	72	22.22
30	3	72	4.16
6	3	73	4.10
18	1	72	1.38
4	0	72	0.00
33	84	90	93.33
27	4	73	5.47
40	84	90	93.33
7	4	72	5.55
47	84	90	93.33
61	84	91	92.30
14	3	73	4.10
15	2	72	2.77
20	3	72	4.16
37	84	91	92.30
46	73	91	80.21
25	1	72	1.38
16	1	72	1.38
52	81	91	89.01
10	1	72	1.38
12	0	73	0.00
29	7	72	9.72
49	82	91	90.10
22	1	73	1.36
26	7	72	9.72
56	85	90	94.44
9	2	72	2.77
5	2	72	2.77
42	83	91	91.20
19	5	72	6.94
51	85	91	93.40
38	88	91	96.70
17	5	73	6.84
13	2	72	2.77
59	90	90	100.00
3	3	73	4.10
21	3	72	4.16
23	2	72	2.77
57	70	91	76.92
32	77	91	84.61
