#Node	Received	Sent	PDR(%)
39	91	90	101.11
58	91	91	100.00
44	91	90	101.11
54	90	91	98.90
53	91	91	100.00
41	91	90	101.11
43	91	91	100.00
36	90	91	98.90
34	86	91	94.50
24	5	91	5.49
8	0	91	0.00
48	85	91	93.40
60	87	91	95.60
50	89	90	98.88
55	88	91	96.70
28	14	91	15.38
11	2	90	2.22
31	1	91	1.09
35	90	90	100.00
45	91	91	100.00
2	0	91	0.00
6	1	90	1.11
30	2	91	2.19
18	4	90	4.44
4	1	91	1.09
33	89	90	98.88
27	1	90	1.11
7	7	91	7.69
47	91	91	100.00
40	89	90	98.88
61	88	90	97.77
15	1	90	1.11
14	5	91	5.49
20	5	91	5.49
16	1	91	1.09
37	88	90	97.77
46	0	91	0.00
25	4	90	4.44
52	88	90	97.77
10	0	91	0.00
12	0	90	0.00
49	85	90	94.44
29	4	90	4.44
22	3	91	3.29
26	1	91	1.09
51	89	90	98.88
9	7	90	7.77
56	91	91	100.00
5	6	90	6.66
42	84	90	93.33
19	5	90	5.55
38	89	91	97.80
17	3	90	3.33
13	4	91	4.39
59	89	90	98.88
3	5	91	5.49
21	0	90	0.00
23	2	90	2.22
57	0	90	0.00
32	86	91	94.50
