#Node	Received	Sent	PDR(%)
39	91	90	101.11
58	90	90	100.00
44	90	91	98.90
54	91	90	101.11
53	91	91	100.00
41	91	91	100.00
43	91	90	101.11
36	91	90	101.11
34	87	91	95.60
24	0	90	0.00
8	1	91	1.09
48	83	91	91.20
60	86	90	95.55
50	86	90	95.55
55	90	90	100.00
28	0	90	0.00
11	2	91	2.19
31	2	91	2.19
35	90	90	100.00
45	91	91	100.00
2	3	90	3.33
6	7	90	7.77
30	2	91	2.19
18	1	90	1.11
4	0	90	0.00
33	89	91	97.80
27	1	90	1.11
7	12	90	13.33
47	89	91	97.80
40	89	91	97.80
61	90	90	100.00
15	3	90	3.33
14	3	91	3.29
20	0	90	0.00
16	2	91	2.19
37	87	90	96.66
46	8	90	8.88
25	6	90	6.66
52	89	90	98.88
10	0	91	0.00
12	0	91	0.00
49	86	91	94.50
29	2	90	2.22
22	6	91	6.59
26	1	91	1.09
51	89	91	97.80
9	5	90	5.55
56	91	90	101.11
5	2	91	2.19
42	86	90	95.55
19	7	90	7.77
38	82	90	91.11
17	4	91	4.39
13	1	90	1.11
59	86	91	94.50
3	4	91	4.39
21	1	91	1.09
23	2	90	2.22
57	6	91	6.59
32	87	90	96.66
